CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
4102293,10/13/2014 08:46:00 AM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"2488 SAN BRUNO AVE, SAN FRANCISCO, CA, 94134",9,Portola,"(37.730282912214, -122.404993800443)",Voice In,
4096781,10/10/2014 08:23:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of SAN BRUNO AVE and SILLIMAN ST,9,Portola,"(37.7312370349364, -122.40508590518)",Voice In,
4096659,10/10/2014 07:18:00 PM,,06/29/2015 10:47:00 AM,Open,accepted,PUC Streetlights Queue,Streetlights,Streetlight - Other_Request_New_Streetlight,Other_Request_New_Streetlight on Unknown Pole,Intersection of 19TH ST and CAPP ST,9,Mission,"(37.7603009794387, -122.418118004294)",Voice In,
4089703,10/08/2014 10:57:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of GENEVA AVE and I-280 N OFF RAMP,11,Cayuga,"(37.7211552498543, -122.447751436704)",Open311,
4076497,10/04/2014 08:25:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of HILL ST and VALENCIA ST,8,Mission,"(37.7561016703999, -122.421041059539)",Open311,
4067207,10/01/2014 08:42:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Concrete Pole,"1575 EUCALYPTUS DR, SAN FRANCISCO, CA, 94132",7,Lakeshore,"(37.7308949173, -122.488104069302)",Web Self Service,
4065457,10/01/2014 10:54:00 AM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Concrete Pole,"68 MONTEREY BLVD, SAN FRANCISCO, CA, 94131",7,Sunnyside,"(37.731690515296, -122.436942414985)",Voice In,
4064121,09/30/2014 09:07:00 PM,,06/29/2015 10:47:00 AM,Open,accepted,PUC Streetlights Queue,Streetlights,Streetlight - Other_Request_New_Streetlight,Other_Request_New_Streetlight on Concrete Pole,Intersection of MERLIN ST and HARRISON ST,6,South of Market,"(37.7786042574083, -122.402384984332)",Voice In,
4054427,09/27/2014 10:35:01 PM,,09/30/2014 01:48:42 AM,Open,,PUC - Electric/Power - G,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Unknown Pole,Intersection of GEARY ST and POWELL ST,3,Downtown/Civic Center,"(37.7873592737769, -122.408226867453)",Voice In,
4042199,09/23/2014 08:14:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"1930 MARKET ST, SAN FRANCISCO, CA, 94102",8,Mint Hill,"(37.770375414942, -122.425626592669)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54223722df867a2a04154fea/report.jpg
4037832,09/22/2014 06:14:00 PM,,07/27/2015 06:07:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"701 GRANT AVE, SAN FRANCISCO, CA, 94108",3,Chinatown,"(37.793537101499, -122.406292700931)",Voice In,
4034128,09/21/2014 09:04:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,Intersection of WASHINGTON ST and THE EMBARCADERO,3,Financial District,"(37.7966659226524, -122.395324140616)",Voice In,
4034111,09/21/2014 08:53:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"30 LOIS LN, SAN FRANCISCO, CA, 94134",10,Little Hollywood,"(37.713565296615, -122.399017349753)",Web Self Service,
4007857,09/12/2014 11:23:00 PM,,07/27/2015 06:48:00 AM,Open,open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Unknown Pole,Intersection of 25TH AVE and FULTON ST,1,Golden Gate Park,"(37.7725691389286, -122.484194342533)",Voice In,
